epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1770.02,0.30212,1.0941,0.2949,0.23022,0.90989,0.99951,1,0.995,0.995,0.99951,1,0.995,0.89357,0.13948,0.48627,0.20167,0.12202,0.6613,0.00101,0.00101,0.00101
52,1803.81,0.32394,1.09624,0.29221,0.24503,0.91194,0.9995,1,0.995,0.99251,0.9995,1,0.995,0.98896,0.21144,0.23887,0.20082,0.15219,0.67386,0.0009902,0.0009902,0.0009902
53,1836.78,0.31323,1.11007,0.27144,0.24492,0.91341,0.99951,1,0.995,0.995,0.99951,1,0.995,0.995,0.16226,0.18829,0.20806,0.15206,0.65967,0.0009704,0.0009704,0.0009704
54,1870.09,0.32199,0.99226,0.2783,0.23601,0.917,0.99951,1,0.995,0.995,0.99951,1,0.995,0.94822,0.13704,0.4745,0.22917,0.13006,0.64563,0.0009506,0.0009506,0.0009506
55,1902.5,0.31561,1.08689,0.27258,0.24206,0.92144,1,1,0.995,0.995,1,1,0.995,0.91848,0.14345,0.35343,0.18341,0.11114,0.65879,0.0009308,0.0009308,0.0009308
56,1935.51,0.29376,1.01116,0.26951,0.22513,0.90242,1,1,0.995,0.98669,1,1,0.995,0.995,0.23825,0.15,0.17124,0.15898,0.68738,0.000911,0.000911,0.000911
57,1968.95,0.29354,0.98144,0.26373,0.23388,0.9092,1,1,0.995,0.98628,1,1,0.995,0.98208,0.18996,0.24042,0.17294,0.14337,0.66796,0.0008912,0.0008912,0.0008912
58,2002.97,0.2911,1.01515,0.27536,0.23355,0.90601,0.99951,1,0.995,0.995,0.99951,1,0.995,0.995,0.15955,0.18107,0.17659,0.13993,0.65846,0.0008714,0.0008714,0.0008714
59,2038.01,0.30062,1.04726,0.25542,0.23551,0.91084,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.19084,0.17439,0.18977,0.15086,0.6569,0.0008516,0.0008516,0.0008516
60,2072.72,0.31476,1.02227,0.2616,0.23549,0.91173,0.99945,1,0.995,0.94457,0.99945,1,0.995,0.98106,0.32783,0.20559,0.16586,0.18245,0.72521,0.0008318,0.0008318,0.0008318
61,2108.17,0.32691,1.05131,0.25123,0.23973,0.92585,0.9995,1,0.995,0.98281,0.9995,1,0.995,0.97659,0.30986,0.26562,0.15985,0.17769,0.71554,0.000812,0.000812,0.000812
62,2142.72,0.30283,1.0629,0.2573,0.23218,0.91625,0.9995,1,0.995,0.99465,0.9995,1,0.995,0.97989,0.23181,0.32854,0.14143,0.15973,0.67194,0.0007922,0.0007922,0.0007922
63,2176.63,0.29632,0.9963,0.24761,0.22255,0.89875,1,1,0.995,0.9922,1,1,0.995,0.995,0.17397,0.1394,0.1541,0.14552,0.66817,0.0007724,0.0007724,0.0007724
64,2210.43,0.28234,0.9676,0.24418,0.22001,0.89589,1,1,0.995,0.995,1,1,0.995,0.99347,0.17899,0.15791,0.17439,0.13221,0.66164,0.0007526,0.0007526,0.0007526
65,2243.86,0.28425,0.95505,0.25828,0.22427,0.90655,1,1,0.995,0.995,1,1,0.995,0.95249,0.1619,0.27106,0.18273,0.13329,0.66168,0.0007328,0.0007328,0.0007328
66,2277.01,0.28168,0.90406,0.24817,0.22237,0.90596,1,1,0.995,0.995,1,1,0.995,0.96409,0.14396,0.31031,0.16737,0.11017,0.6523,0.000713,0.000713,0.000713
67,2309.85,0.26546,0.81548,0.23804,0.20977,0.8997,1,1,0.995,0.995,1,1,0.995,0.9946,0.17087,0.17331,0.17398,0.12504,0.65766,0.0006932,0.0006932,0.0006932
68,2343.16,0.25109,0.80776,0.25326,0.20315,0.88852,0.99951,1,0.995,0.995,0.99951,1,0.995,0.995,0.2006,0.1477,0.16124,0.14391,0.66824,0.0006734,0.0006734,0.0006734
69,2377.16,0.25427,0.85945,0.24448,0.20904,0.90217,0.99951,1,0.995,0.995,0.99951,1,0.995,0.98566,0.17198,0.262,0.1588,0.1427,0.65554,0.0006536,0.0006536,0.0006536
70,2412.07,0.25986,0.85935,0.23258,0.20926,0.89965,0.99949,1,0.995,0.995,0.99949,1,0.995,0.995,0.17529,0.16617,0.16796,0.12999,0.66225,0.0006338,0.0006338,0.0006338
71,2446.44,0.25681,0.80413,0.23534,0.2065,0.8915,0.99949,1,0.995,0.995,0.99949,1,0.995,0.995,0.14978,0.18004,0.17431,0.11962,0.65189,0.000614,0.000614,0.000614
72,2481.72,0.25525,0.80277,0.23241,0.20703,0.89278,0.99951,1,0.995,0.995,0.99951,1,0.995,0.995,0.20118,0.14051,0.16006,0.1304,0.65737,0.0005942,0.0005942,0.0005942
73,2516.31,0.25187,0.7873,0.23587,0.2011,0.89233,0.99952,1,0.995,0.995,0.99952,1,0.995,0.995,0.12061,0.11833,0.15657,0.1204,0.64166,0.0005744,0.0005744,0.0005744
